댐코드,댐명,측정월,수온,수소이온농도지수(pH),용존산소(DO),생물학적 산소요구량(BOD),화학적 산소요구량(COD),부유물질(SS),총질소(T-N),총인(T-P),인산염인(PO4-P),탁도,전기전도도
1003110,충주,2025-09-25,21,7.6,3.9,,,,,,,1.4,266
2021210,운문,2025-09-25,26,6.9,5.9,0.8,2.6,2,1.054,0.008,0,1.9,82
2001110,안동,2025-08-25,31,8.6,7.1,1.3,3.9,1.7,1.403,0.015,0.001,3.2,158
3008110,대청,2025-08-25,25,7.5,7,0.8,5,2.4,1.447,0.021,0.015,0.7,149
2018110,남강,2025-08-25,23,6.1,2.5,1.8,4.1,,1.365,0.036,0,20.3,60
4007110,주암(본),2025-08-25,22,6.8,4.3,1.2,4.3,7.6,1.188,0.05,0.015,7,65
1012110,소양강,2025-08-25,13,7.3,9.6,0.6,1.5,0.6,2.325,0.013,0.001,0.6,83
5101110,장흥,2025-08-25,29,9,7.7,1.3,3.8,2.2,0.807,0.022,0,2.2,63
4104610,주암(조),2025-08-25,8,6.8,6.2,0.8,2.6,1.7,0.837,0.015,0,1.1,75
2503220,구천,2025-08-25,22,6.9,5.3,3.3,4.1,1.2,,,,2.3,
2010101,김천부항,2025-08-25,21,7,6.8,,,,,0.016,,1,85
3303110,부안,2025-08-25,17,6.1,7,0.7,2.6,1,2.394,0.006,0,1,62
1003110,충주,2025-08-25,19,7.3,3.1,0.8,2.2,1.8,2.96,0.008,0.001,0.9,260
2021210,운문,2025-08-25,20,7.2,6.8,0.7,2.6,3.3,1.105,0.009,0,7.3,69
2002110,임하,2025-08-25,30,8.2,7.9,1.2,4.7,1,2.322,0.011,0.002,5,7187
5002201,평림,2025-08-25,20,7.5,5.3,2,3,2.2,1.63,0.027,0.005,4.3,101
1006110,횡성,2025-08-25,22,8.3,8.7,1.6,2.2,1.8,2.888,0.009,0.003,2,122
4001110,섬진강,2025-08-25,14,7.5,6.3,2.5,5.3,2.9,1.832,0.011,0,3.5,132
